TripID,SurveyYear,DayID,IndividualID,TravDay,NumStages,MainMode_B04ID,TripPurpose_B04ID,TripDisIncSW_B01ID,TripPurpFrom_B01ID,TripPurpTo_B01ID,JTTXSC,JD,TripStart_B01ID,TripTotalTime,TripTravTime
2015000058,2015,2015000022,2015000004,1,1,3,1,5,1,23,20,8.0,8,20,20
2015000059,2015,2015000024,2015000004,3,1,3,1,5,23,1,20,8.0,19,20,20
2015000060,2015,2015000025,2015000004,4,1,3,1,5,1,23,20,8.0,8,20,20
2015000061,2015,2015000025,2015000004,4,1,3,1,5,23,1,20,8.0,19,20,20
2015000062,2015,2015000026,2015000004,5,1,3,1,5,1,23,25,8.0,8,25,25
2015000063,2015,2015000026,2015000004,5,1,3,1,5,23,1,20,8.0,19,20,20
2015000064,2015,2015000027,2015000004,6,1,3,1,5,1,23,25,8.0,8,25,25
2015000065,2015,2015000027,2015000004,6,1,3,4,4,23,4,10,3.0,10,15,10
2015000066,2015,2015000027,2015000004,6,1,3,4,4,4,23,15,3.0,11,15,15
2015000067,2015,2015000027,2015000004,6,1,3,1,5,23,1,30,8.0,16,30,30
2015000068,2015,2015000027,2015000004,6,1,3,1,5,1,23,15,8.0,21,15,15
2015000113,2015,2015000064,2015000010,1,1,3,1,3,23,1,15,2.0,9,15,15
2015000114,2015,2015000064,2015000010,1,1,3,1,3,1,23,15,2.0,14,15,15
2015000115,2015,2015000065,2015000010,2,1,3,1,3,23,1,15,2.0,9,15,15
2015000116,2015,2015000065,2015000010,2,1,3,1,3,1,23,10,2.0,-8,10,10
2015000117,2015,2015000065,2015000010,2,1,3,4,4,23,5,30,4.0,13,30,30
2015000118,2015,2015000065,2015000010,2,1,3,4,4,5,23,17,4.0,-8,17,17
2015000119,2015,2015000066,2015000010,3,1,3,4,3,23,5,10,2.0,16,10,10
2015000120,2015,2015000066,2015000010,3,1,3,4,3,5,23,10,2.0,16,10,10
2015000121,2015,2015000067,2015000010,4,1,3,1,3,23,1,15,2.0,9,15,15
2015000122,2015,2015000067,2015000010,4,1,3,1,3,1,23,15,2.0,18,15,15
2015000123,2015,2015000068,2015000010,5,1,3,1,3,23,1,15,2.0,9,15,15
2015000124,2015,2015000068,2015000010,5,1,3,1,3,1,23,15,2.0,18,15,15
2015000125,2015,2015000069,2015000010,6,1,3,1,3,23,1,15,2.0,9,15,15
2015000126,2015,2015000069,2015000010,6,1,3,1,3,1,23,15,2.0,18,15,15
2015000127,2015,2015000070,2015000010,7,1,3,1,3,23,1,15,2.0,9,15,15
2015000128,2015,2015000070,2015000010,7,1,3,1,3,1,23,15,2.0,18,15,15
2015000129,2015,2015000070,2015000010,7,1,1,8,1,23,15,35,1.75,20,5,5
2015000130,2015,2015000070,2015000010,7,1,1,8,1,15,23,35,1.75,20,5,5
2015000226,2015,2015000106,2015000016,1,1,3,7,5,23,12,20,6.0,12,20,20
2015000227,2015,2015000106,2015000016,1,1,3,7,5,12,23,20,6.0,13,20,20
2015000228,2015,2015000107,2015000016,2,1,3,6,5,23,6,30,7.0,10,30,30
2015000229,2015,2015000107,2015000016,2,1,3,6,5,6,23,30,7.0,11,30,30
2015000230,2015,2015000108,2015000016,3,1,3,7,4,23,12,15,3.0,12,15,15
2015000231,2015,2015000108,2015000016,3,1,3,7,7,12,23,60,17.0,15,80,60
2015000232,2015,2015000109,2015000016,4,1,3,7,4,23,12,15,3.0,12,15,15
2015000233,2015,2015000109,2015000016,4,1,3,7,4,12,23,15,3.0,15,15,15
2015000613,2015,2015000324,2015000050,2,1,4,7,5,23,13,15,5.0,18,15,15
2015000614,2015,2015000324,2015000050,2,1,4,7,5,13,23,15,5.0,20,15,15
2015000615,2015,2015000329,2015000050,7,1,4,7,10,23,10,80,64.0,11,80,80
2015000616,2015,2015000331,2015000051,2,1,8,5,5,23,21,20,5.0,12,35,20
2015000617,2015,2015000331,2015000051,2,1,8,5,5,21,23,20,5.0,16,20,20
2015000618,2015,2015000336,2015000051,7,1,4,5,5,23,21,15,6.0,16,15,15
2015000619,2015,2015000336,2015000051,7,1,4,5,5,21,23,15,6.0,17,15,15
2015000706,2015,2015000373,2015000057,2,1,4,7,9,23,10,90,45.0,7,90,90
2015000707,2015,2015000373,2015000057,2,1,4,7,9,10,23,70,47.0,20,70,70
2015000708,2015,2015000374,2015000057,3,1,4,4,4,23,5,15,4.0,15,15,15
2015000709,2015,2015000374,2015000057,3,1,4,4,4,5,23,10,4.0,18,10,10
2015000710,2015,2015000375,2015000057,4,1,4,7,4,23,10,15,4.0,15,15,15
2015000711,2015,2015000375,2015000057,4,1,4,4,4,10,5,15,4.5,16,15,15
2015000712,2015,2015000375,2015000057,4,1,4,4,5,5,23,20,6.0,18,20,20
2015000908,2015,2015000456,2015000069,1,1,4,6,5,23,8,20,6.0,11,20,20
2015000909,2015,2015000456,2015000069,1,1,4,7,6,8,15,30,14.0,12,30,30
2015000910,2015,2015000456,2015000069,1,1,4,7,7,15,23,40,16.0,14,40,40
2015000911,2015,2015000458,2015000069,3,1,1,8,2,23,15,35,1.5,11,35,35
2015000912,2015,2015000458,2015000069,3,1,1,8,2,15,23,35,1.5,12,35,35
2015000913,2015,2015000458,2015000069,3,1,4,7,5,23,9,20,7.0,19,20,20
2015000914,2015,2015000458,2015000069,3,1,3,7,5,9,23,30,9.0,22,30,30
2015000915,2015,2015000461,2015000069,6,1,3,4,3,23,4,10,2.0,11,10,10
2015000916,2015,2015000461,2015000069,6,1,3,4,3,4,23,10,2.0,12,10,10
2015000917,2015,2015000462,2015000069,7,1,1,4,1,23,5,105,5.25,12,15,15
2015000918,2015,2015000462,2015000069,7,1,1,4,1,5,23,105,5.25,12,15,15
2015000919,2015,2015000464,2015000070,2,1,8,6,2,23,8,15,1.0,11,15,15
2015000920,2015,2015000464,2015000070,2,1,8,6,2,8,23,15,1.0,11,15,15
2015000921,2015,2015000468,2015000070,6,1,4,4,1,23,4,6,0.5,11,6,6
2015000922,2015,2015000468,2015000070,6,1,4,4,1,4,23,7,0.5,12,7,7
2015000923,2015,2015000469,2015000070,7,1,4,7,1,23,10,5,0.75,15,5,5
2015000924,2015,2015000469,2015000070,7,1,4,7,1,10,23,5,0.75,16,5,5
2015000933,2015,2015000477,2015000072,1,2,4,4,7,23,5,60,17.0,12,60,60
2015000934,2015,2015000477,2015000072,1,1,4,4,7,5,23,30,16.0,17,35,30
2015000935,2015,2015000478,2015000072,2,1,1,1,2,23,1,25,1.0,9,25,25
2015000936,2015,2015000478,2015000072,2,1,1,1,2,1,23,25,1.0,16,25,25
2015000937,2015,2015000479,2015000072,3,1,1,1,2,23,1,25,1.0,9,25,25
2015000938,2015,2015000479,2015000072,3,1,1,7,2,1,10,25,1.0,14,25,25
2015000939,2015,2015000479,2015000072,3,1,1,7,2,10,23,20,1.0,19,20,20
2015000940,2015,2015000480,2015000072,4,1,1,1,2,23,1,25,1.0,9,25,25
