TravelWeekDay_B03ID,DayID,IndividualID
1,2017009654,2017001485
1,2017009655,2017001485
1,2017009656,2017001485
1,2017009657,2017001485
1,2017009658,2017001485
2,2017009659,2017001485
2,2017009660,2017001485
1,2017009661,2017001486
1,2017009662,2017001486
1,2017009663,2017001486
1,2017009664,2017001486
1,2017009665,2017001486
2,2017009666,2017001486
2,2017009667,2017001486
1,2017009668,2017001487
1,2017009669,2017001487
1,2017009670,2017001487
1,2017009671,2017001487
1,2017009672,2017001487
2,2017009673,2017001487
2,2017009674,2017001487
2,2017009675,2017001488
2,2017009676,2017001488
1,2017009677,2017001488
1,2017009678,2017001488
1,2017009679,2017001488
1,2017009680,2017001488
1,2017009681,2017001488
2,2017009682,2017001489
2,2017009683,2017001489
1,2017009684,2017001489
1,2017009685,2017001489
1,2017009686,2017001489
1,2017009687,2017001489
1,2017009688,2017001489
1,2017009689,2017001490
1,2017009690,2017001490
1,2017009691,2017001490
1,2017009692,2017001490
2,2017009693,2017001490
2,2017009694,2017001490
1,2017009695,2017001490
1,2017009696,2017001491
1,2017009697,2017001491
1,2017009698,2017001491
1,2017009699,2017001491
2,2017009700,2017001491
2,2017009701,2017001491
1,2017009702,2017001491
1,2017009703,2017001492
1,2017009704,2017001492
1,2017009705,2017001492
1,2017009706,2017001492
1,2017009707,2017001492
2,2017009708,2017001492
2,2017009709,2017001492
1,2017009710,2017001493
1,2017009711,2017001493
1,2017009712,2017001493
1,2017009713,2017001493
1,2017009714,2017001493
2,2017009715,2017001493
2,2017009716,2017001493
1,2017009717,2017001494
1,2017009718,2017001494
1,2017009719,2017001494
1,2017009720,2017001494
1,2017009721,2017001494
2,2017009722,2017001494
2,2017009723,2017001494
2,2017009724,2017001495
2,2017009725,2017001495
1,2017009726,2017001495
1,2017009727,2017001495
1,2017009728,2017001495
1,2017009729,2017001495
1,2017009730,2017001495
2,2017009731,2017001496
2,2017009732,2017001496
1,2017009733,2017001496
1,2017009734,2017001496
1,2017009735,2017001496
1,2017009736,2017001496
1,2017009737,2017001496
1,2017009738,2017001497
1,2017009739,2017001497
1,2017009740,2017001497
2,2017009741,2017001497
2,2017009742,2017001497
1,2017009743,2017001497
1,2017009744,2017001497
1,2017009745,2017001498
1,2017009746,2017001498
1,2017009747,2017001498
2,2017009748,2017001498
2,2017009749,2017001498
1,2017009750,2017001498
1,2017009751,2017001498
1,2017009752,2017001499
1,2017009753,2017001499
1,2017009754,2017001499
